# score	source	age_h	payout_hint	tags	url	title
6	sn/bitcoin	0.8	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1494838	Square Terminal Trainwreck
4	github	3.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/karagozemin/OverSync/issues/9	SDK canonical testnet asset-pair mapping
4	github	0.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/orchestration-agent/AgentOrchestration/issues/2525	[ Bounty $5k ] [ Deploy ] Include queue backlog in canary decision — worker autoscaling
4	github	0.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/orchestration-agent/AgentOrchestration/issues/2523	[ Bounty $3k ] [ Middleware ] Validate multipart boundary before buffering upload — upload middleware
4	github	0.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/orchestration-agent/AgentOrchestration/issues/2497	[ Bounty $4k ] [ Auth ] Separate machine token and user token permissions — automation auth
4	github	1.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Scottcjn/rustchain-bounties/issues/12028	[GRANT: 150 RTC/mo] Maintainer-Nominated Welcome Grant
4	github	1.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Scottcjn/rustchain-bounties/issues/12027	[BOUNTY: 5 RTC] Localization — Translate RustChain Docs
4	github	1.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Scottcjn/rustchain-bounties/issues/12026	[BOUNTY: 10 RTC] Hardware Pioneer — Mine on New Vintage Hardware
4	github	1.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/Scottcjn/rustchain-bounties/issues/12025	[BOUNTY: 2-3 RTC] First Light — Your First RustChain Contribution
2	github	25.4	-	OPEN_ISSUE,LOW_COMP	https://github.com/vant-xyz/backend-core/issues/10	[Base] GG20 Threshold ECDSA (Non-Custodial Keypair)
2	github	25.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/vant-xyz/backend-core/issues/9	[Solana] FROST Threshold Signing (Non-Custodial Keypair)
2	github	59.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/iarturo/ElaraPay/issues/2	Add USDT support alongside USDC
2	github	0.6	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2510	[ Bounty $4k ] [ Metrics ] Reject negative counter increments — counter integrity
2	github	1.0	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2494	[ Bounty $7k ] [ Registry ] Validate handler version compatibility — plugin upgrades
2	github	1.3	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2484	[ Bounty $6k ] [ Orchestrator ] Persist reducer errors separately — event processing diagnostics
2	github	1.6	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2474	[ Bounty $5k ] [ Sandbox ] Return execution_id before long tasks finish — executor API contract
2	github	1.9	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2461	[ Bounty $7k ] [ Workflow ] Validate artifact retention policies — cleanup scheduling
2	github	2.2	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2457	[ Bounty $9k ] [ Workflow ] Require explicit sensitive input declarations — safe task wiring
2	github	2.5	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2448	[ Bounty $3k ] [ CLI ] Extract parser construction for tests — testability
2	github	2.7	-	OPEN_ISSUE	https://github.com/orchestration-agent/AgentOrchestration/issues/2443	[ Bounty $5k ] [ Scheduler ] Defer runs during dependency outages — external service health gates
