# score	source	age_h	payout_hint	tags	url	title
5	sn/bitcoin	12.2	20 sats	OPEN_NEED,LOW_COMP	https://stacker.news/items/1552184	Latest Strikes 32 & 33 - August 3rd-16th 2026
4	github	3.7	-	OPEN_ISSUE,LOW_COMP	https://github.com/SO4-Markets/so4-oracle/issues/772	fail_ok_fail_sequence_counts_all_three_cycles doesn't test a sequence at all — it uses three independent AppState instan
3	sn/bitcoin	15.3	$100	OPEN_NEED	https://stacker.news/items/1552045	On the Economics of Peer-to-Peer, pt 2: The Stubborn Issue of Indexation
3	github	37.9	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/835	[Bounty] [3 USDC][Open Competition V2] Write the shortest deterministic agent earning run
3	github	37.9	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/834	[Bounty] [3 USDC][Open Competition V2] Map the shortest discovery path for eight AI-agent
3	github	37.9	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/831	[Bounty] [3 USDC][Open Competition V2] Build a 25-case agent findability and task-search 
3	github	37.9	3 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/832	[Bounty] [3 USDC][Open Competition V2] Create one complete earning example for every agen
3	github	51.1	$25	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/828	[Bounty] Bounty #2 — Karabut Glow-Discharge Nuclear Screening Simulator [$25,000 USDC]
3	github	51.1	$20	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/827	[Bounty] Bounty #3 — DryLab4 & SiLA 2 Robotic Laboratory Bridge [$20,000 USDC]
3	github	51.1	$15	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/829	[Bounty] Bounty #1 — ChIP-seq & Methylation PACE Pipeline [$15,000 USDC]
3	github	52.1	$15	OPEN_ISSUE,LOW_COMP	https://github.com/mister3ai-cmyk/ngp-sovereign-synesis-bounties/issues/1	Bounty #1 — ChIP-seq & Methylation PACE Pipeline [$15,000 USDC]
2	sn/bitcoin	10.5	-	OPEN_NEED	https://stacker.news/items/1552219	New service for stacking no-KYC + free (gifted) sats
2	github	3.2	-	OPEN_ISSUE	https://github.com/SO4-Markets/so4-oracle/issues/787	mixed_ledger_fail_and_ok_both_logged_in_metrics uses two independent AppState instances instead of testing an actual mix
2	github	4.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/SO4-Markets/so4-oracle/issues/757	token_failure_does_not_abort_remaining_tokens checks the cache for the wrong address due to a one-character typo, making
2	github	18.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/Vaulty-X/Vaulty-App/issues/42	Build an anchor-partner deposit webhook ingestion flow
2	github	39.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/accensa/x402-facilitator-stellar/issues/147	Four scripts in scripts/ are referenced by neither package.json nor the README
2	github	60.9	-	OPEN_ISSUE,LOW_COMP	https://github.com/Savitura/crowdpay/issues/688	Path Payment Preview, Slippage Protection & Contributor Asset Intelligence
2	github	22.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/HarrieAlexandrowicz5/gorm/issues/1	🎯 GORM v2.24.0 Panics When Querying with Complex Joins
2	github	40.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/tenstorrent/tt-metal/issues/53787	[Bounty $5k] ttnn.log_sigmoid: 0.91% peak fp32 error and a missing x <= -4 branch
1	github	37.9	3 USDC	OPEN_ISSUE	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/833	[Bounty] [3 USDC][Open Competition V2] Build a machine-readable Beta3 error recovery cata
1	github	52.1	$20	OPEN_ISSUE	https://github.com/mister3ai-cmyk/ngp-sovereign-synesis-bounties/issues/3	Bounty #3 — DryLab4 & SiLA 2 Robotic Laboratory Bridge [$20,000 USDC]
1	github	52.1	$25	OPEN_ISSUE	https://github.com/mister3ai-cmyk/ngp-sovereign-synesis-bounties/issues/2	Bounty #2 — Karabut Glow-Discharge Nuclear Screening Simulator [$25,000 USDC]
0	github	39.9	-	OPEN_ISSUE	https://github.com/stellarspend/stellarspend-app/issues/124	Connect BudgetModal in QuickActions to the real budget contract
0	github	60.9	-	OPEN_ISSUE	https://github.com/Savitura/crowdpay/issues/687	Soroban-Enforced Spending Policies, Timelocked Withdrawals & On-Chain Audit Trail
0	github	14.8	-	OPEN_ISSUE	https://github.com/AmeyOathout4/minio/issues/1	🎯 S3 API Inconsistent Behavior with Large Objects
0	github	34.8	-	OPEN_ISSUE	https://github.com/iv-org/invidious/issues/5957	[Bug] HMooneyPot alias
