# score	source	age_h	payout_hint	tags	url	title
6	sn/bitcoin	1.2	-	OPEN_NEED,LOW_COMP	https://stacker.news/items/1529374	Prediction Markets vs Gambling - Do you know the difference?
4	github	2.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1584	fix: bound yesterday temporal recall
3	sn/bitcoin	18.5	000 sats	OPEN_NEED	https://stacker.news/items/1528800	BTC vote: Do you support the Senate version of the CLARITY Act?
3	github	39.2	000001 USDC	OPEN_ISSUE,LOW_COMP	https://github.com/zendvolabs/zendvo/issues/307	Task 14: Enforce a minimum deposit amount on gifts and savings to stop the contract's storage from being spammed.
3	github	4.3	$500	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/600	[Bounty] [BOUNTY][$500 NT SpaceBucks™] Fix my failing marriage
3	github	6.9	$150	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/595	[Bounty] [READY FOR AGENT] [OPEN] [$150 USD Opire Bounty] Replace security weapons with a
3	github	6.9	$100	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/593	[Bounty] [BOUNTY] [READY FOR AGENT] [$100 USD] Adds new station event, the Metamorphosis 
3	github	6.9	$950	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/594	[Bounty] [BOUNTY] [READY FOR AGENT] [$950 USD] ADD DAILY QUESTS FOR SECURITY TO BOOST PLA
2	sn/bitcoin	16.4	-	OPEN_NEED	https://stacker.news/items/1528896	How many onchain transactions have you done in the last month?
2	sn/bitcoin	12.0	-	OPEN_NEED	https://stacker.news/items/1529109	Dutch crypto platform Knaken declared bankrupt, €7m missing - DutchNews.nl
2	sn/tech	15.0	-	OPEN_NEED	https://stacker.news/items/1528989	Where do ISP's get their internet from?
2	github	20.2	-	OPEN_ISSUE,LOW_COMP	https://github.com/Nodal-stellar/Nodal-AI/issues/265	feat: add path_payment example script to scripts/examples/
2	github	22.8	-	OPEN_ISSUE,LOW_COMP	https://github.com/davz7/MananaSeguro/issues/81	Issue 1 — Clean up unused-variable warnings in contract tests
2	github	45.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/zendvolabs/zendvo/issues/298	Task 07: Design the savings data model that tracks each user's principal separately from their earned yield.
2	github	4.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/zhangjiayang6835-cyber/bounty-plaza/issues/599	[Bounty] [BOUNTY] [PAID BOUNTY] [AGENT READY] [50$] Port the entirety of 5D Chess With Mu
2	github	5.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1577	fix: revoke sessions when deleting agents
2	github	6.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/Iamgoofball/-tg-station/issues/69	[BOUNTY] [PAID BOUNTY] [AGENT READY] [50$] Port the entirety of 5D Chess With Multiverse Time Travel as a arcade mini-ga
2	github	7.1	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1570	fix(mcp): isolate concurrent agent sessions
2	github	7.5	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1569	fix(claudecode): distill only the current Stop turn
2	github	8.3	-	OPEN_ISSUE,LOW_COMP	https://github.com/moorcheh-ai/memanto/pull/1564	fix(okf): isolate export caches by backend
0	github	38.9	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/311	Task 18: Add a mechanism for the admin to collect accumulated platform fees into a treasury wallet.
0	github	44.7	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/305	Task 13: Cap how far in the future a gift's unlock time can be set, so funds can never be permanently trapped.
0	github	44.7	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/304	Task 12: Let users claim just their accumulated yield without touching their principal savings.
0	github	45.5	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/301	Task 10: Scaffold a wrapper interface that will route idle savings into external yield protocols like Blend or an AMM.
0	github	45.5	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/300	Task 09: Build the savings withdrawal function so users can pull their principal back out at any time.
0	github	45.6	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/295	Task 04: Implement the claim function so recipients can withdraw a gift only after its unlock time has passed.
0	github	45.6	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/294	Task 03: Create the deposit function that lets a sender atomically lock USDC into a new time-locked gift.
0	github	45.6	-	OPEN_ISSUE	https://github.com/zendvolabs/zendvo/issues/293	Task 02: Build the gift data model that stores sender, recipient, amount, and time-lock details on-chain
0	github	5.0	-	OPEN_ISSUE	https://github.com/moorcheh-ai/memanto/pull/1579	Fix: strip leading whitespace in filtered query when query is empty
0	github	6.8	-	OPEN_ISSUE	https://github.com/moorcheh-ai/memanto/pull/1571	fix: preserve committed memory results when summary logging fails
0	github	7.1	-	OPEN_ISSUE	https://github.com/Iamgoofball/-tg-station/issues/66	[BOUNTY] [EASY AI TASK] [$10] Add Klingon based recipes
0	github	7.6	-	OPEN_ISSUE	https://github.com/Iamgoofball/-tg-station/issues/65	[BOUNTY][$500 NT SpaceBucks™] Fix my failing marriage
